kind,label,rows,seconds,rows_per_sec
node,Customer,3000000,60.41,49658.0
node,Account,4000000,48.52,82449.0
node,Transaction,6000000,94.86,63249.0
node,Address,3000000,48.67,61645.0
node,Phone,2000000,30.03,66596.0
node,Email,2000000,27.82,71901.0
node,Card,2000000,36.34,55037.0
node,Device,4000000,64.4,62108.0
node,SessionLog,6000000,89.79,66823.0
node,Document,1000000,15.22,65717.0
node,Beneficiary,500000,5.29,94471.0
node,Loan,300000,3.68,81629.0
node,Investment,200000,3.27,61160.0
node,Employer,50000,0.76,65539.0
node,Merchant,30000,0.62,48307.0
node,Branch,2000,0.3,6634.0
node,Campaign,500,0.28,1787.0
node,Product,100,0.34,291.0
node,Channel,20,0.26,77.0
node,Country,250,0.25,999.0
node,Currency,50,0.4,124.0
node,RiskRating,5,0.46,11.0
rel,HAS_ACCOUNT,3000000,269.53,11131.0
rel,HAS_ADDRESS,3000000,283.5,10582.0
rel,HAS_PHONE,2000000,192.21,10405.0
rel,HAS_EMAIL,2000000,190.74,10485.0
rel,HAS_DOCUMENT,1000000,95.68,10451.0
rel,HAS_DEVICE,2000000,189.7,10543.0
rel,HAS_CARD,1500000,144.98,10346.0
rel,LIVES_IN,2000000,175.72,11382.0
rel,WORKS_FOR,1000000,97.61,10245.0
rel,RATED_AS,2000000,180.16,11101.0
rel,IN_CAMPAIGN,500000,44.27,11295.0
rel,HAS_TRANSACTION,5000000,461.87,10825.0
rel,AT_BRANCH_ACCT,2000000,171.53,11659.0
rel,IN_CURRENCY_ACCT,2000000,159.77,12518.0
rel,FOR_PRODUCT,2000000,168.19,11891.0
rel,HAS_BENEFICIARY,400000,37.44,10684.0
rel,LINKED_TO,500000,51.96,9622.0
rel,AT_MERCHANT,2500000,237.62,10521.0
rel,VIA_CHANNEL_TXN,3000000,237.77,12617.0
rel,IN_COUNTRY_TXN,2000000,166.54,12009.0
rel,IN_CURRENCY_TXN,3000000,233.14,12868.0
rel,USED_CARD,1500000,126.66,11843.0
rel,USED_DEVICE_TXN,1500000,140.98,10640.0
rel,AT_BRANCH_CARD,1000000,81.99,12197.0
rel,FOR_CUSTOMER_LOAN,250000,22.54,11091.0
rel,AT_BRANCH_LOAN,250000,21.01,11899.0
rel,HELD_BY,150000,14.19,10571.0
rel,FOR_CUSTOMER_SES,3000000,295.65,10147.0
rel,VIA_DEVICE_SES,3000000,277.41,10814.0
rel,VIA_CHANNEL_SES,3000000,243.22,12334.0
rel,ADDR_IN_COUNTRY,1500000,119.95,12505.0
rel,PHONE_IN_COUNTRY,1000000,78.76,12697.0
rel,VERIFIED_BY,500000,43.9,11390.0
TOTAL,all,93132925,5788.19,16090.0
